time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
29.263,1821.1449999999995,211.0,100.0,1,11660.0,5,0,-3718.7025462014826,8258.738434402683,7450.914310723927
29.29,1822.6440829787618,208.6857088,90.35712,1,11619.499904,5,0,-3722.0,8272.0,7452.0
29.543,1835.6894444444438,187.0,0.0,1,11240.0,5,0,-3744.6250522911578,8356.917674924985,7458.742591919276
29.59,1837.8679591332207,182.03888213333335,0.0,1,11064.271982933333,5,0,-3749.0,8372.0,7460.0
29.903,1850.5894444444436,149.0,0.0,1,9894.0,5,0,-3791.5713100832036,8498.248882418906,7470.546771083682
29.949,1852.2768298094447,144.90746098959966,0.0,1,9985.672873832968,5,0,-3802.0,8521.0,7472.0
30.184,1860.2683333333325,124.0,0.0,1,10454.0,3,0,-3865.965657786426,8639.221236210828,7477.914657635269
30.189,1860.4272623296133,123.7499904,0.0,1,10464.51290368,3,0,-3867.0,8641.0,7478.0
30.529,1870.3107560660267,106.7499904,0.0,1,11179.36290368,3,0,-3903.0,8692.0,7481.0
30.584,1871.823888888888,104.0,0.0,1,11295.0,2,0,-3911.1588320987994,8702.467638307953,7481.676772092998
30.749,1876.2877309352778,98.22499328,0.0,1,11022.7496832,2,0,-3942.0,8744.0,7484.0
30.784,1877.2127777777769,97.0,0.0,1,10965.0,1,0,-3948.6572306691287,8753.52947276146,7484.382435242259
31.029,1883.475508955146,93.171872,0.0,1,10190.1868928,1,0,-3988.0,8821.0,7486.0
31.104,1885.3905555555546,92.0,0.0,1,9953.0,1,0,-3992.83336813037,8838.857843907565,7486.323140306831
31.264,1889.4794444444435,92.0,0.0,0,9635.0,1,0,-3990.8521771033647,8872.034821655081,7486.819004881104
31.369,1891.9931701510463,89.3749952,1.1250020571428572,0,9588.874915657143,1,0,-3984.0,8893.0,7487.0
31.544,1896.0905555555546,85.0,3.0,0,9512.0,1,0,-3965.022055563954,8927.949466919516,7487.052136522004
31.629,1898.216184263055,86.74709946754749,7.633611631321587,0,9556.133251767178,1,0,-3954.0,8944.0,7487.0
32.663,1929.6605555555545,108.0,64.0,0,10093.0,1,0,-3760.6618530486203,9123.269482500158,7480.11491360651
32.669,1929.853031809117,108.2250048,64.0,0,10095.500053333333,1,0,-3759.0,9125.0,7480.0
32.903,1937.4605555555545,117.0,64.0,0,10193.0,1,0,-3691.4581325168597,9199.630481974627,7474.926033864992
32.949,1939.0201768170982,118.1500032,63.16363403636364,0,10327.132191418183,1,0,-3680.0,9214.0,7474.0
33.343,1953.104999999999,128.0,56.0,0,11476.0,2,0,-3620.1140060692155,9327.585408391193,7467.800664907863
33.389,1954.7572437926588,128.5750016,56.2875008,0,11573.1752704,2,0,-3616.0,9343.0,7467.0
33.503,1958.8827777777767,130.0,57.0,0,11814.0,2,0,-3607.6660758418293,9384.64422169199,7464.817880112138
33.769,1969.1106883439998,136.6500032,57.0,0,11426.30481344,2,0,-3600.0,9492.0,7459.0
33.903,1974.4383333333321,140.0,57.0,0,11231.0,2,0,-3603.663406562971,9543.710102995905,7456.007660626054
34.103,1982.4938888888878,145.0,57.0,0,10112.0,2,0,-3618.2438094890763,9616.319941014708,7451.812745754513
34.149,1984.3713548378607,145.7666688,60.4500096,0,10192.500224,2,0,-3623.0,9632.0,7451.0
34.343,1992.4272222222212,149.0,75.0,0,10532.0,3,0,-3648.7709369539907,9693.827727964623,7448.2425855499705
34.583,2002.827222222221,156.0,100.0,0,11641.0,3,0,-3689.903012219964,9771.831358859683,7443.204324434069
34.589,2003.0937220759615,156.2625056,100.0,0,11636.5749056,3,0,-3691.0,9774.0,7443.0
34.669,2006.677709454731,159.7625056,100.0,0,11577.5749056,3,0,-3707.0,9806.0,7440.0
34.743,2010.0716666666656,163.0,100.0,0,11523.0,3,0,-3728.8882996938933,9850.00955890633,7437.199315494044
34.929,2019.028582880819,171.63572022857142,100.0,0,10996.221066057144,3,0,-3798.0,9989.0,7431.0
35.023,2023.7605555555544,176.0,100.0,0,10730.0,4,0,-3822.077822147247,10037.15955420561,7428.8545194137705
35.349,2041.064758329197,189.04000512,100.0,0,11376.29525376,4,0,-3868.0,10134.0,7424.0
35.423,2045.0938888888877,192.0,100.0,0,11523.0,4,0,-3881.365434298009,10165.732957560449,7422.364597216892
35.583,2053.8938888888874,198.0,100.0,0,11551.0,4,0,-3913.184646086152,10247.067515788192,7418.516595979552
35.61,2055.401551272118,198.60000142222222,100.0,0,11477.4248256,4,0,-3918.0,10261.0,7418.0
